Tipo,Precio,Área,Habitaciones,Baños,Estrato
Casa,650000000,283,3,3,4
Casa,998000000,192,3,3,5
Casa,356939976,73,3,2,5
Casa,790000000,148,3,3,4
Casa,2400000000,300,4,4,4
Casa,325000000,144,3,2,4
Casa,410000000,105,3,3,5
Casa,400000000,105,3,3,5
Casa,1600000000,330,4,4,6
Casa,1900000000,320,3,3,5
Casa,355000000,160,4,4,5
Casa,550000000,180,5,2,5
Casa,1520000000,280,3,3,4
Casa,410000000,115,4,3,4
Casa,880000000,130,4,2,5
Casa,1600000000,409,4,4,4
Casa,820000000,280,7,3,5
Casa,355097984,72,3,2,5
Casa,2150000000,390,5,5,6
Casa,440000000,89,3,3,4
Casa,1550000000,260,3,4,4
Casa,410000000,156,8,4,5
Casa,360000000,104,4,2,5
Casa,1350000000,168,3,3,4
Casa,319000000,120,4,2,5
Casa,345000000,108,3,1,6
Casa,650000000,310,4,4,6
Casa,650000000,97,3,3,6
Casa,352848043,76,4,2,5
Casa,1399000000,223,5,6,5
Casa,950000000,290,5,5,5
Casa,360000000,230,9,3,4
Casa,1500000000,204,6,5,5
Casa,1250000000,200,4,5,5
Casa,1250000000,151,4,4,5
Casa,1050000000,175,3,3,4
Casa,1300000000,360,4,4,5
Casa,2600000000,460,3,6,5
Casa,700000000,240,4,4,4
Casa,900000000,500,9,5,4
Casa,1450000000,330,6,5,6
Casa,900000000,137,3,4,4
Casa,2290000000,280,3,3,5
Casa,700000000,123,3,3,4
Casa,665000000,189,3,2,4
Casa,850000000,320,6,7,4
Casa,930000000,192,3,4,5
Casa,630000000,120,3,1,6
Casa,1740000000,233,3,4,5
Casa,700000000,180,4,2,5
Casa,580000000,120,3,3,4
Casa,1800000000,280,5,7,5
Casa,1300000000,295,4,6,5
Casa,400000000,73,4,2,6
Casa,1480000000,296,4,5,4
Casa,750000000,127,5,3,6
Casa,489000000,206,8,4,5
Casa,1100000000,200,5,5,4
Casa,2147483647,464,3,3,5
Casa,1100000000,200,5,5,6
Casa,500000000,240,7,4,6
Casa,1600000000,360,5,6,4
Casa,630000000,133,3,2,5
Casa,1050000000,270,4,3,5
Casa,599900000,300,7,8,5
Casa,1500000000,400,4,5,5
Casa,900000000,195,3,3,4
Casa,1739000000,290,5,6,5
Casa,370000000,214,3,2,4
Casa,1580000000,250,6,5,6
Casa,590000000,190,9,4,4
Casa,550000000,172,4,3,6
Casa,365000000,71,4,2,5
Casa,369000000,98,4,4,6
Casa,517000000,91,3,3,5
Casa,309000000,72,4,2,5
Casa,565000000,163,5,2,4
Casa,1450000000,207,3,5,4
Casa,1990000000,310,3,3,5
Casa,1600000000,325,4,4,4
Casa,950000000,150,4,3,6
Casa,850000000,188,6,3,5
Casa,398000000,142,6,3,4
Casa,950000000,200,4,4,4
Casa,1300000000,300,3,4,4
Casa,950000000,319,4,4,4
Casa,1150000000,151,3,3,5
Casa,1250000000,161,3,4,6
Casa,2000000000,450,4,5,4
Casa,1420000000,255,4,5,5
Casa,359011664,79,3,2,5
Casa,400000000,113,4,3,6
Casa,530000000,105,3,3,4
Casa,980000000,235,4,5,6
Casa,980000000,156,3,2,6
Casa,376918427,75,3,2,6
Casa,325000000,98,3,2,5
Casa,900000000,500,5,4,5
Casa,590000000,228,5,2,4
Casa,1200000000,410,5,6,5
Casa,530000000,115,4,4,6
Casa,1200000000,205,3,3,5
Casa,1200000000,250,4,2,5
Casa,580000000,170,4,4,4
Casa,650000000,197,8,4,4
Casa,370000000,130,4,2,4
Casa,540000000,125,3,3,5
Casa,338000000,90,4,3,4
Casa,430000000,137,3,2,4
Casa,1350000000,245,3,4,6
Casa,800000000,150,4,3,5
Casa,396000000,143,3,2,5
Casa,650000000,250,4,4,5
Casa,400000000,112,4,2,4
Casa,400000000,104,3,3,5
Casa,550000000,174,5,3,4
Casa,380000000,156,3,2,5
Casa,460000000,144,3,3,5
Casa,540000000,190,8,3,5
Casa,929000000,197,4,4,5
Casa,570000000,210,8,5,4
Casa,425000000,115,3,4,4
Casa,450000000,121,3,2,5
Casa,1200000000,180,3,3,5
Casa,685000000,142,3,3,5
Casa,2000000000,287,4,7,4
Casa,930000000,312,6,4,5
Casa,440000000,123,4,3,6
Casa,1950000000,420,4,5,5
Casa,520000000,109,3,2,5
Casa,1450000000,330,4,5,5
Casa,1250000000,341,5,5,5
Casa,865000000,186,4,4,5
Casa,2590000000,400,6,6,6
Casa,880000000,180,4,4,5
Casa,920000000,288,4,4,6
Casa,1450000000,220,4,3,4
Casa,2200000000,245,3,4,4
Casa,1740000000,290,4,6,4
Casa,1000000000,250,4,4,4
Casa,650000000,113,3,3,5
Casa,1100000000,184,4,5,5
Casa,2200000000,368,4,5,4
Casa,1448000000,270,4,5,5
Casa,1600000000,285,3,4,5
Casa,740000000,137,3,3,4
Casa,1490000000,300,3,5,5
Casa,850000000,280,4,4,4
Casa,1300000000,216,3,4,5
Casa,1150000000,220,4,3,4
Casa,700000000,191,3,3,5
Casa,550000000,270,5,5,4
Casa,590000000,140,3,3,4
Casa,720000000,114,3,3,6
Casa,588000000,108,3,3,4
Casa,630000000,96,3,3,5
Casa,1200000000,250,5,5,6
Casa,2100000000,230,3,5,4
Casa,890000000,228,5,5,5
Casa,1590000000,217,3,4,5
Casa,1450000000,300,3,2,6
Casa,600000000,148,3,2,6
Casa,1650000000,390,5,6,5
Casa,850000000,210,4,4,5
Casa,2200000000,300,4,6,4
Casa,699990000,183,5,3,4
Casa,1500000000,300,3,4,6
Casa,950000000,202,3,2,5
Casa,1650000000,390,4,5,6
Casa,1900000000,261,5,6,4
Casa,2500000000,310,3,4,4
Casa,410000000,103,3,2,4
Casa,930000000,158,3,4,5
Casa,420000000,109,3,3,4
Casa,800000000,189,3,4,5
Casa,2200000000,500,4,3,4
Casa,410000000,320,12,3,5
Casa,2400000000,260,3,4,5
Casa,1480000000,350,4,4,5
Casa,2180000000,258,4,4,5
Casa,400000000,102,5,4,5
Casa,800000000,160,5,3,5
Casa,1700000000,288,6,4,5
Casa,1500000000,267,5,4,6
Casa,850000000,160,4,5,4
Casa,1050000000,184,6,3,5
Casa,620000000,140,4,2,6
Casa,535000000,137,4,4,4
Casa,2600000000,300,5,6,4
Casa,650000000,350,4,3,5
Casa,2600000000,581,5,6,4
Casa,545000000,400,5,4,6
Casa,700000000,180,3,3,4
Casa,565000000,118,3,3,6
Casa,519000000,140,3,3,4
Casa,370000000,100,4,3,6
Casa,680000000,240,4,2,4
Casa,405000000,178,5,2,4
Casa,750000000,170,4,2,4
Casa,680000000,134,3,2,4
Casa,2500000000,570,3,5,6
Casa,1100000000,225,4,2,5
Casa,370000000,132,3,3,4
Casa,940000000,180,3,3,4
Casa,850000000,185,3,2,5
Casa,800000000,189,3,3,4
Casa,860000000,161,4,2,5
Casa,2490000000,310,3,4,4
Casa,1100000000,200,4,4,5
Casa,670000000,90,3,2,5
Casa,555000000,92,3,3,6
Casa,2200000000,230,3,3,5
Casa,2400000000,520,6,9,4
Casa,342302303,74,3,1,4
Casa,445000000,110,3,4,4
Casa,455000000,170,3,3,5
Casa,745000000,134,4,3,5
Casa,580000000,80,3,2,5
Casa,410000000,115,3,2,4
Casa,300000000,118,3,3,5
Casa,1620000000,320,4,5,5
Casa,1150000000,193,3,3,4
Casa,525000000,100,3,2,6
Casa,320000000,130,2,2,6
Casa,2200000000,305,4,5,5
