Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Apartamento,197000000,64,2,2,5,Bochalema
Apartamento,237482712,66,2,2,5,Valle Del Lili
Apartamento,220000000,54,2,2,5,Ciudad Pacifica
Apartamento,220000000,56,2,2,5,Bochalema
Apartamento,165000000,60,3,1,5,La Base
Apartamento,273500000,65,3,2,5,Meléndez
Apartamento,220000000,64,3,2,5,La Hacienda
Apartamento,310000000,77,2,2,5,Brisas De Los Alamos
Apartamento,230000000,60,2,2,5,Ciudad Pacifica
Apartamento,288703805,65,3,2,5,El Bosque
Apartamento,280000000,62,3,2,5,El Refugio
Apartamento,395000000,93,3,3,5,Valle Del Lili
Apartamento,195000000,70,2,2,5,Cuarto De Legua
Apartamento,180000000,51,3,2,5,Valle Del Lili
Apartamento,190000000,69,3,2,5,Cl. 12 #39-40
Apartamento,300000000,84,3,3,5,Cl. 42 #86-85
Apartamento,880000000,161,4,3,5,Aguacatal
Apartamento,297000000,80,3,2,5,Valle De Lili
Apartamento,160000000,54,3,2,5,Av. 2B 2 #74n-35
Apartamento,290000000,65,3,2,5,Av. 9a Nte.
Apartamento,380000000,95,3,2,5,Cra. 112
Apartamento,270000000,78,2,2,5,CALLE 47 # 120-103
Apartamento,240000000,34,1,1,5,Carrera  6 #11-54
Apartamento,270000000,78,2,2,5,Ciudad Pacifica Cali
Apartamento,174000000,64,3,1,5,El Guabal
Apartamento,1100000000,278,4,5,6,Normandía
Apartamento,345000000,82,3,2,5,Cali
Apartamento,280000000,60,3,2,5,Guadalupe
Apartamento,290000000,72,2,2,5,Cra. 82 #6a-61
Apartamento,490000000,107,3,4,5,Valle Del Lili
Apartamento,330000000,80,3,2,5,Jamundí
Apartamento,530000000,112,3,3,5,Cra. 37 #1 Oeste-45
Apartamento,248000000,65,3,2,5,Cra. 98 #48-38
Apartamento,320000000,65,4,3,5,Cra. 85 #11 74
Apartamento,298000000,143,4,2,5,Cra. 56 #9-60 Bloque I Apto 404
Apartamento,325000000,101,3,3,5,Cuarto De Legua
Apartamento,320000000,122,3,3,5,Cra. 72 #10 Bis-21
Apartamento,190000000,77,3,2,5,Cl. 61 Nte. #3b Norte-1 2g
Apartamento,290000000,70,3,2,5,Cra. 92 #45112
Apartamento,500000000,139,4,3,5,CARRERA 85C 13A-120
Apartamento,235000000,62,2,2,5,Vegas De Confamdi
Apartamento,410000000,90,3,3,5,Valle De Lili
Apartamento,400000000,72,3,2,5,Cra. 54 #1a-60
Apartamento,290000000,75,3,2,5,Cl. 28 #96-34
Apartamento,345000000,83,4,2,5,Cl. 28 #96-34
Apartamento,310000000,98,3,2,5,Calle 12 # 83 - 105
Apartamento,260000000,95,3,2,5,Cl 1A #62A-130
Apartamento,320000000,85,3,3,5,Cra 85A #13a-8
Apartamento,485000000,124,4,4,5,Cl. 38 Nte. #6N-35
Apartamento,379800000,85,3,3,5,Cl. 28 #100-118
Apartamento,220000000,65,3,2,5,Colseguros
Apartamento,360000000,86,3,3,5,Cra. 98B # 34-53
