Inmueble,Precio,Área total,Habitaciones,Baños,Estrato,Ubicación
Apartamento,148.000.000,55 m² cubiertos,3 habitaciones,2 baños,,"Meléndez, Cali, Valle Del Cauca"
Apartamento,257.000.000,65 m² cubiertos,3 habitaciones,2 baños,,"Ciudad Melendez, Cali, Valle Del Cauca"
Apartamento,219.000.000,56 m² cubiertos,2 habitaciones,2 baños,,"Ciudad 2000, Cali, Valle Del Cauca"
Apartamento,167.000.000,48 m² cubiertos,2 habitaciones,2 baños,,"Ciudad Pacifica, Cali, Valle Del Cauca"
Apartamento,630.000.000,121 m² cubiertos,3 habitaciones,3 baños,5,"La Flora, Cali, Valle Del Cauca"
Apartamento,570.000.000,97 m² cubiertos,2 habitaciones,2 baños,5,"La Flora, Cali, Valle Del Cauca"
Apartamento,430.000.000,107 m² cubiertos,3 habitaciones,3 baños,,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,540.000.000,102 m² cubiertos,3 habitaciones,3 baños,5,"Cl. 58 Nte. #4 B 63, Menga, Cali, Valle Del Cauca, Colombia, Menga, Cali, Valle Del Cauca"
Apartamento,360.000.000,84 m² cubiertos,3 habitaciones,2 baños,,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,405.000.000,84 m² cubiertos,3 habitaciones,2 baños,5,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,650.000.000,171 m² cubiertos,4 habitaciones,4 baños,,"Oeste, Normandia, Cali, Valle Del Cauca"
Apartamento,675.000.000,104 m² cubiertos,3 habitaciones,2 baños,5,"La Flora, Cali, Valle Del Cauca"
Apartamento,510.000.000,124 m² cubiertos,4 habitaciones,3 baños,5,"Sur, Los Cambulos, Cali, Valle Del Cauca"
Apartamento,210.000.000,62 m² cubiertos,2 habitaciones,2 baños,4,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,365.000.000,98 m² cubiertos,3 habitaciones,3 baños,,"Cuarto De Legua, Cali, Valle Del Cauca"
Apartamento,230.000.000,74 m² cubiertos,3 habitaciones,2 baños,,"Primero De Mayo, Cali, Valle Del Cauca"
Apartamento,385.000.000,86 m² cubiertos,2 habitaciones,3 baños,4,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,720.000.000,121 m² cubiertos,3 habitaciones,3 baños,6,"Santa Teresita, Cali, Valle Del Cauca"
Apartamento,220.000.000,61 m² cubiertos,3 habitaciones,2 baños,4,"Aguacatal, Cali, Valle Del Cauca"
Apartamento,259.000.000,60 m² cubiertos,2 habitaciones,2 baños,4,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,255.000.000,62 m² cubiertos,3 habitaciones,2 baños,,"Vegas Del Lili, Cali, Valle Del Cauca"
Apartamento,207.900.000,60 m² cubiertos,3 habitaciones,2 baños,,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,400.000.000,90 m² cubiertos,2 habitaciones,3 baños,5,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,233.000.000,61 m² cubiertos,3 habitaciones,2 baños,4,"Carrera 119A #60-56, Bochalema, Cali, Valle Del Cauca"
Apartamento,400.000.000,175 m² cubiertos,3 habitaciones,2 baños,,"Cali, Valle Del Cauca"
Apartamento,326.532.568,79 m² cubiertos,2 habitaciones,2 baños,,"Calle 43 #111-45, Bochalema, Cali, Valle Del Cauca"
Apartamento,250.000.000,91 m² cubiertos,3 habitaciones,2 baños,5,"El Lido, Cali, Valle Del Cauca"
Apartamento,326.532.568,79 m² cubiertos,2 habitaciones,2 baños,4,"Calle 43 #111-45, Bochalema, Cali, Valle Del Cauca"
Apartamento,120.000.000,74 m² cubiertos,3 habitaciones,2 baños,3,"Calipso, Cali, Valle Del Cauca"
Apartamento,291.000.000,67 m² cubiertos,2 habitaciones,2 baños,5,"La Flora, Cali, Valle Del Cauca"
Apartamento,158.000.000,60 m² cubiertos,3 habitaciones,1 baño,,"Cali, Valle Del Cauca"
Apartamento,218.000.000,61 m² cubiertos,3 habitaciones,2 baños,,"Kachipai, Cali, Valle Del Cauca"
Apartamento,310.000.000,98 m² cubiertos,3 habitaciones,3 baños,5,"Cuarto De Legua, Cali, Valle Del Cauca"
Apartamento,370.000.000,86 m² cubiertos,3 habitaciones,2 baños,5,"La Hacienda, Sur, Cali, Valle Del Cauca"
Apartamento,194.000.000,60 m² cubiertos,2 habitaciones,2 baños,,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,295.000.000,66 m² cubiertos,3 habitaciones,2 baños,4,"Cali, Valle Del Cauca"
Apartamento,285.000.000,86 m² cubiertos,2 habitaciones,2 baños,5,"Quintas De Don Simon, Cali, Valle Del Cauca"
Apartamento,580.000.000,83 m² cubiertos,2 habitaciones,2 baños,,"Chipichape, Cali, Valle Del Cauca"
Apartamento,480.000.000,108 m² cubiertos,3 habitaciones,2 baños,,"El Ingenio, Cali, Valle Del Cauca"
Apartamento,580.000.000,133 m² cubiertos,4 habitaciones,3 baños,5,"Chipichape, Cali, Valle Del Cauca"
Apartamento,630.000.000,118 m² cubiertos,3 habitaciones,3 baños,6,"Pance, Cali, Valle Del Cauca"
Apartamento,460.000.000,66 m² cubiertos,2 habitaciones,2 baños,5,"Cristales, Cali, Valle Del Cauca"
Apartamento,560.000.000,130 m² cubiertos,4 habitaciones,3 baños,5,"Seminario, Cali, Valle Del Cauca"
Apartamento,470.000.000,86 m² cubiertos,3 habitaciones,3 baños,,"Parcelaciones Pance, Cali, Valle Del Cauca"
Apartamento,340.000.000,72 m² cubiertos,3 habitaciones,2 baños,5,"Mayapan, Cali, Valle Del Cauca"
Apartamento,220.000.000,62 m² cubiertos,2 habitaciones,2 baños,4,"Prados Del Norte, Cali, Valle Del Cauca"
Apartamento,220.000.000,62 m² cubiertos,2 habitaciones,2 baños,,"Prados Del Norte, Cali, Valle Del Cauca"
Apartamento,950.000,35 m² cubiertos,1 habitación,1 baño,,"Montebello, Cali, Valle Del Cauca"
Apartamento,415.000.000,82 m² cubiertos,3 habitaciones,2 baños,5,"Ciudad Jardín, Cali, Valle Del Cauca"
Apartamento,529.000.000,108 m² cubiertos,3 habitaciones,3 baños,6,"Menga, Cali, Valle Del Cauca"
Apartamento,450.000.000,165 m² cubiertos,4 habitaciones,4 baños,,"Cuarto De Legua, Cali, Valle Del Cauca"
Apartamento,550.000.000,97 m² cubiertos,2 habitaciones,2 baños,5,"La Flora, Cali, Valle Del Cauca"
Apartamento,510.000.000,89 m² cubiertos,2 habitaciones,2 baños,5,"La Flora, Cali, Valle Del Cauca"
Apartamento,420.000.000,99 m² cubiertos,3 habitaciones,2 baños,5,"El Ingenio, Cali, Valle Del Cauca"
Apartamento,210.000.000,47 m² cubiertos,1 habitación,2 baños,5,"Cuarto De Legua, Cali, Valle Del Cauca"
Apartamento,550.000.000,150 m² cubiertos,4 habitaciones,3 baños,,"Cali, Valle Del Cauca"
Apartamento,169.000.000,58 m² cubiertos,3 habitaciones,2 baños,3,"Metropolitano Del Norte, Cali, Valle Del Cauca"
Apartamento,320.000.000,92 m² cubiertos,3 habitaciones,2 baños,5,"Cuarto De Legua, Cali, Valle Del Cauca"
Apartamento,490.000.000,62 m² cubiertos,1 habitación,2 baños,6,"Parcelaciones Pance, Cali, Valle Del Cauca"
Apartamento,1.300.000.000,400 m² cubiertos,4 habitaciones,6 baños,6,"Santa Monica, Cali, Valle Del Cauca"
Apartamento,130.000.000,47 m² cubiertos,2 habitaciones,1 baño,4,"Ciudad Pacifica, Cali, Valle Del Cauca"
Apartamento,970.000.000,51 m² cubiertos,4 habitaciones,4 baños,,"Cra. 2 Oe. #13 - 59, Normandia Sebastian De Belalcazar, Cali, Valle Del Cauca, Colombia, Santa Teresita, Cali, Valle Del Cauca"
Apartamento,530.000.000,116 m² cubiertos,3 habitaciones,3 baños,5,"Cristales, Cali, Valle Del Cauca"
Apartamento,685.000.000,155 m² cubiertos,3 habitaciones,4 baños,5,"La Flora, Cali, Valle Del Cauca"
Apartamento,1.200.000.000,186 m² cubiertos,3 habitaciones,5 baños,6,"Cali, Valle Del Cauca"
Apartamento,2.600.000.000,600 m² cubiertos,5 habitaciones,6 baños,6,"Cali, Valle Del Cauca"
Apartamento,1.394.000.000,195 m² cubiertos,3 habitaciones,4 baños,6,"Cali, Valle Del Cauca"
Apartamento,1.150.000.000,245 m² cubiertos,3 habitaciones,3 baños,6,"Cali, Valle Del Cauca"
Apartamento,849.500.000,171 m² cubiertos,3 habitaciones,3 baños,6,"Cali, Valle Del Cauca"
Apartamento,1.701.487.000,240 m² cubiertos,3 habitaciones,4 baños,6,"Cali, Valle Del Cauca"
Apartamento,725.000.000,119 m² cubiertos,2 habitaciones,2 baños,,"La Arboleda, Cali, Valle Del Cauca"
Apartamento,325.000.000,75 m² cubiertos,3 habitaciones,2 baños,,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,2.500.000.000,442 m² cubiertos,4 habitaciones,6 baños,6,"Cali, Valle Del Cauca"
Apartamento,990.000.000,130 m² cubiertos,4 habitaciones,5 baños,,"Cra. 138 #No 4 - 133, Brisas Del Pance, Cali, Valle Del Cauca, Colombia, Pance, Cali, Valle Del Cauca"
Apartamento,1.500.000.000,276 m² cubiertos,4 habitaciones,4 baños,6,"Altos De Normandia, Cali, Valle Del Cauca"
Apartamento,1.400.000.000,325 m² cubiertos,4 habitaciones,6 baños,6,"Cali, Valle Del Cauca"
Apartamento,660.000.000,119 m² cubiertos,4 habitaciones,3 baños,,"Cl. 5 #89-35, Las Vegas, Cali, Valle Del Cauca, Colombia, Las Vegas, Cali, Valle Del Cauca"
Apartamento,2.500.000.000,377 m² cubiertos,4 habitaciones,4 baños,6,"Santa Teresita, Cali, Valle Del Cauca"
Apartamento,570.000.000,62 m² cubiertos,1 habitación,2 baños,5,"Juanambú, Cali, Valle Del Cauca"
Apartamento,380.000.000,84 m² cubiertos,3 habitaciones,2 baños,5,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,252.000.000,63 m² cubiertos,3 habitaciones,2 baños,,"Cl. 50 #94-32, Comuna 17, Cali, Valle Del Cauca, Colombia, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,2.897.500.000,459 m² cubiertos,3 habitaciones,5 baños,6,"Cali, Valle Del Cauca"
Apartamento,350.000.000,140 m² cubiertos,3 habitaciones,3 baños,5,"Camino Real, Cali, Valle Del Cauca"
Apartamento,580.000.000,90 m² cubiertos,3 habitaciones,2 baños,,"San Fernando, Cali, Valle Del Cauca, Colombia, Tejares De San Fernando, Cali, Valle Del Cauca"
Apartamento,615.525.300,107 m² cubiertos,3 habitaciones,3 baños,6,"Cali, Valle Del Cauca"
Apartamento,1.100.000.000,250 m² cubiertos,3 habitaciones,3 baños,6,"Santa Teresita, Cali, Valle Del Cauca"
