Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Casa,1390000000,600,4,5,5,Cl Colombia Ca asgordas
Casa,1400000000,600,8,9,4,Valle Del Lili
Casa,175000000,80,3,2,5,CALLE D N Los Guaduales
Casa,240000000,100,3,1,3,Flora Industrial
Casa,1600000000,497,20,6,5,Cl COMUNA Colombia San Antonio
Casa,430000000,300,6,4,5,Nueva Floresta Colombia Nueva Floresta
Casa,430000000,91,3,3,5,Ciudad Pacifica
Casa,1538000000,497,20,6,5,Cl COMUNA Colombia San Antonio
Casa,315000000,144,5,2,5,Cra Colombia Villas De Veracruz
Casa,185000000,165,5,1,5,San Fernando
Casa,239900000,178,3,1,5,Cra a Andres Sanin Palmira Colombia
Casa,980000000,250,5,4,3,El Ingenio
Casa,210000000,144,3,2,5,Morichal De Comfandi Colombia Morichal De Comfandi
Casa,430000000,270,4,6,5,Cra Colombia Valle Del Lili
Casa,1250000000,244,5,6,6,Ciudad Jard n
Casa,1400000000,417,5,6,5,Granada
Casa,400000000,170,6,3,5,BELALCAZAR Belalcazar
Casa,470000000,270,6,3,4,Villas De Guadalupe SN Villas De Guadalupe
Casa,350000000,96,3,3,5,Valle De Lili Comuna Colombia Valle Del Lili
Casa,320000000,140,8,4,5,Union De Vivienda Popular Colombia Uni n De Vivienda Popular
Casa,250000000,150,6,3,5,Calle Q
Casa,945000000,305,10,2,5,Cl COMUNA Colombia San Antonio
Casa,890000000,350,8,9,5,San Joaquin
Casa,135000000,60,2,2,5,CALLE A OESTE Manzanares
Casa,210000000,60,3,2,5,KR
Casa,195000000,60,4,2,5,CARRERA
Casa,459900000,250,9,7,5,CL Multicentro
Casa,1300000000,395,6,7,4,Prados Del Limonar Sur
Casa,1480000000,1,5,5,4,La Morada Jamund
Casa,2500000000,600,7,3,5,Ciudad Jard n
Casa,440000000,350,5,5,3,Villa Del Sur
Casa,775000000,431,4,4,4,Praderas De Verde Horizonte
Casa,1100000000,400,4,3,4,La Reforma
Casa,1020000000,200,4,2,5,La Buitrera
Casa,195000000,90,3,2,3,Santa B rbara
Casa,390000000,72,7,3,5,Valle Del Lili
Casa,540000000,140,4,4,5,Zona Sur Ciudad Jardin
