Tipo,Precio,Área,Habitaciones,Baños,Estrato
Apartamento,365000000,98,3,3,4
Apartamento,300000000,74,3,2,5
Apartamento,385000000,86,2,3,4
Apartamento,290000000,61,3,2,5
Apartamento,329000000,60,2,2,4
Apartamento,325000000,62,3,2,5
Apartamento,277900000,60,3,2,6
Apartamento,400000000,90,2,3,6
Apartamento,303000000,61,3,2,5
Apartamento,400000000,175,3,2,5
Apartamento,396532568,79,2,2,4
Apartamento,320000000,91,3,2,5
Apartamento,396532568,79,2,2,4
Apartamento,350000000,74,3,2,5
Apartamento,361000000,67,2,2,5
Apartamento,228000000,60,3,1,5
Apartamento,288000000,61,3,2,4
Apartamento,380000000,98,3,3,5
Apartamento,370000000,86,3,2,5
Apartamento,264000000,60,2,2,4
Apartamento,365000000,66,3,2,6
Apartamento,355000000,86,2,2,4
Apartamento,580000000,83,2,2,4
Apartamento,480000000,108,3,2,5
Apartamento,580000000,133,4,3,4
Apartamento,460000000,66,2,2,6
Apartamento,560000000,130,4,3,5
Apartamento,470000000,86,3,3,6
Apartamento,410000000,72,3,2,5
Apartamento,290000000,62,2,2,4
Apartamento,290000000,62,2,2,5
Apartamento,415000000,82,3,2,5
Apartamento,529000000,108,3,3,6
Apartamento,450000000,165,4,4,4
Apartamento,550000000,97,2,2,5
Apartamento,510000000,89,2,2,5
Apartamento,420000000,99,3,2,5
Apartamento,280000000,47,1,2,5
Apartamento,550000000,150,4,3,4
Apartamento,239000000,58,3,2,5
Apartamento,390000000,92,3,2,5
Apartamento,490000000,62,1,2,6
Apartamento,200000000,47,2,1,5
Apartamento,530000000,116,3,3,4
Apartamento,395000000,75,3,2,4
Apartamento,660000000,119,4,3,5
Apartamento,570000000,62,1,2,5
Apartamento,380000000,84,3,2,4
Apartamento,322000000,63,3,2,5
Apartamento,420000000,140,3,3,5
Apartamento,580000000,90,3,2,4
Apartamento,615525300,107,3,3,4
Apartamento,218000000,54,3,1,5
Apartamento,400000000,146,3,2,5
Apartamento,275000000,58,2,3,6
Apartamento,254000000,63,2,2,4
