Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Apartamento,400000000,100,3,2,5,Pampa Linda
Apartamento,180000000,80,3,2,5,El Ingenio
Apartamento,290000000,70,2,2,5,San Fernando Viejo
Apartamento,230000000,62,3,2,4,El Refugio
Apartamento,205000000,33,1,1,5,Urbanización La Flora
Apartamento,225000000,56,2,2,5,Camino Real - Joaquín Borrero Sinisterra
Apartamento,170000000,65,3,1,6,Ciudad Campestre
Apartamento,185000000,62,3,2,5,El Bosque
Apartamento,167000000,48,2,2,4,San Fernando Nuevo
Apartamento,570000000,110,3,2,6,Normandía
Apartamento,189000000,61,3,2,4,La Campiña
Apartamento,535000000,199,3,3,4,Granada
Apartamento,210000000,60,2,2,5,Versalles
Apartamento,570000000,165,3,3,6,Santa Teresita
Apartamento,500000000,89,2,3,5,Cañaveralejo - Seguros Patria
Apartamento,485000000,107,3,3,4,Vipasa
Apartamento,250000000,63,3,2,5,Senderos de la Flora
Apartamento,395000000,88,3,3,4,Lili
Apartamento,215000000,80,3,2,5,San Fernando Viejo
Apartamento,230000000,128,3,3,5,El Lido
Apartamento,185000000,50,2,2,5,Senderos de la Flora
Apartamento,195000000,59,2,2,4,El Cedro
Apartamento,195600502,65,2,2,5,Unicentro Cali
Apartamento,152000000,55,3,2,4,Olímpico
Apartamento,192000000,58,3,2,5,Camino Real - Los Fundadores
Apartamento,172000000,48,2,1,5,Ciudad Capri
Apartamento,155000000,55,2,2,4,Vipasa
Apartamento,200500000,60,3,2,5,Santa Anita - La Selva
Apartamento,300000000,73,3,2,5,El Gran Limonar
Apartamento,368000000,86,3,3,5,Camino Real - Joaquín Borrero Sinisterra
Apartamento,255000000,100,4,3,4,Los Cambulos
Apartamento,260000000,69,2,2,5,El Ingenio
Apartamento,257000000,65,3,2,4,Urbanización La Merced
Apartamento,390000000,84,3,2,5,Urbanización La Flora
Apartamento,186000000,61,3,2,5,Santa Mónica
Apartamento,179395592,56,3,2,6,Urbanización Ciudad Jardín
Apartamento,201000000,54,2,2,6,Santa Barbara
Apartamento,192000000,57,3,2,4,Urbanización Nueva Granada
Apartamento,200000000,58,3,2,6,Arboledas
Apartamento,218000000,61,3,2,5,Urbanización San Joaquin
Apartamento,306832660,71,3,2,5,Los Portales - Nuevo Rey
Apartamento,154500000,50,2,2,5,Pampa Linda
Apartamento,225000000,56,2,2,5,Juanambú
Apartamento,218000000,61,3,2,4,Unidad Residencial El Coliseo
Apartamento,201751135,60,3,2,4,Urbanización La Merced
Apartamento,201751135,60,3,2,5,Nueva Tequendama
Apartamento,265500000,65,3,2,5,La Cascada
Apartamento,164220000,49,2,2,4,Bosques del Limonar
Apartamento,323098592,67,3,2,6,Tejares - Cristales
Apartamento,167000000,48,2,2,4,Urbanización Colseguros
Apartamento,196000000,65,2,2,4,San Vicente
Apartamento,196000000,65,2,2,4,Urbanización Colseguros
Apartamento,167000000,48,2,2,5,El Gran Limonar
Apartamento,218000000,61,3,2,6,Menga
Apartamento,238000000,63,2,3,5,Cañaveralejo - Seguros Patria
Apartamento,390000000,84,3,2,6,Normandía
Apartamento,164220000,49,2,2,5,Camino Real - Los Fundadores
Apartamento,238000000,63,3,2,4,Unidad Residencial El Coliseo
Apartamento,231751540,57,2,2,5,El Peñón
Apartamento,231000000,61,3,2,6,Parcelaciones Pance
Apartamento,218000000,61,3,2,4,Barrio Eucarístico
Apartamento,194000000,58,3,2,4,Urbanización Colseguros
Apartamento,148000000,55,3,2,4,Chipichape
Apartamento,257000000,65,3,2,6,Santa Teresita
Apartamento,219000000,56,2,2,4,Ciudad 2000
Apartamento,167000000,48,2,2,5,Sector Cañaveralejo Guadalupe
Apartamento,630000000,121,3,3,5,La Flora
Apartamento,570000000,97,2,2,5,La Flora
Apartamento,430000000,107,3,3,5,Unicentro Cali
Apartamento,540000000,102,3,3,4,Granada
Apartamento,360000000,84,3,2,4,Unidad Residencial El Coliseo
Apartamento,405000000,84,3,2,5,El Ingenio
Apartamento,650000000,171,4,4,4,Unidad Residencial El Coliseo
Apartamento,675000000,104,3,2,5,La Flora
Apartamento,510000000,124,4,3,6,Urbanización Ciudad Jardín
Apartamento,210000000,62,2,2,4,El Cedro
Apartamento,365000000,98,3,3,4,Pasoancho
Apartamento,230000000,74,3,2,5,Urbanización San Joaquin
Apartamento,385000000,86,2,3,4,Colseguros Andes
Apartamento,220000000,61,3,2,5,Cuarto de Legua - Guadalupe
Apartamento,259000000,60,2,2,4,Ciudad Los Alamos
Apartamento,255000000,62,3,2,5,El Peñón
Apartamento,207900000,60,3,2,6,Santa Teresita
Apartamento,400000000,90,2,3,6,Santa Rita
Apartamento,233000000,61,3,2,5,El Gran Limonar - Cataya
Apartamento,400000000,175,3,2,5,El Gran Limonar
Apartamento,326532568,79,2,2,4,Los Cambulos
Apartamento,250000000,91,3,2,5,El Lido
Apartamento,326532568,79,2,2,4,Lili
Apartamento,120000000,74,3,2,5,La Cascada
Apartamento,291000000,67,2,2,5,La Flora
Apartamento,158000000,60,3,1,5,Cañaveralejo - Seguros Patria
Apartamento,218000000,61,3,2,4,Primero de Mayo
Apartamento,310000000,98,3,3,5,Los Portales - Nuevo Rey
Apartamento,370000000,86,3,2,5,La Hacienda
Apartamento,194000000,60,2,2,4,3 de Julio
Apartamento,295000000,66,3,2,6,Normandía
Apartamento,285000000,86,2,2,4,Bosques del Limonar
Apartamento,580000000,83,2,2,4,Chipichape
Apartamento,480000000,108,3,2,5,El Ingenio
Apartamento,580000000,133,4,3,4,Chipichape
Apartamento,460000000,66,2,2,6,Normandía
Apartamento,560000000,130,4,3,5,Ciudad Capri
Apartamento,470000000,86,3,3,6,Parcelaciones Pance
Apartamento,340000000,72,3,2,5,Ciudadela Pasoancho
Apartamento,220000000,62,2,2,4,La Campiña
Apartamento,220000000,62,2,2,5,Urbanización Tequendama
Apartamento,415000000,82,3,2,5,Camino Real - Los Fundadores
Apartamento,529000000,108,3,3,6,Menga
Apartamento,450000000,165,4,4,4,Miraflores
Apartamento,550000000,97,2,2,5,La Flora
Apartamento,510000000,89,2,2,5,La Flora
Apartamento,420000000,99,3,2,5,El Ingenio
Apartamento,210000000,47,1,2,5,Versalles
Apartamento,550000000,150,4,3,4,Santa Isabel
Apartamento,169000000,58,3,2,5,Unicentro Cali
Apartamento,320000000,92,3,2,5,Senderos de la Flora
Apartamento,490000000,62,1,2,6,Parcelaciones Pance
