Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Apartamento,2897500000,459,3,5,6,San Fernando
Apartamento,350000000,140,3,3,5,Camino Real
Apartamento,580000000,90,3,2,4,San Fernando Colombia Tejares De San Fernando
Apartamento,615525300,107,3,3,6,San Fernando
Apartamento,1100000000,250,3,3,6,Santa Teresita
Apartamento,148000000,54,3,1,4,Cl b a Comuna Colombia Chiminangos
Apartamento,400000000,146,3,2,6,El Ingenio
Apartamento,205000000,58,2,3,2,Ciudad Pacifica
Apartamento,184000000,63,2,2,4,Cl Villa Fatima Colombia Crist bal Col n
Apartamento,175000000,51,2,2,4,Cra A A Villa Fatima Colombia Corregimiento El Hormiguero
Apartamento,1200000000,256,3,5,6,Juanamb
Apartamento,225000000,60,2,2,4,Valle Del Lili
Apartamento,170000000,46,3,1,4,Cra a Bajo Jordan Colombia Mel ndez
Apartamento,200000000,62,3,2,4,Cra c Colombia Valle Del Lili
Apartamento,260000000,60,2,2,4,Cl A Villa Fatima Colombia Bochalema
Apartamento,195000000,65,3,2,4,Ciudad
Apartamento,330000000,83,3,2,4,La Flora
Apartamento,660000000,110,3,3,4,Bella Suiza Bella Suiza Alta
Apartamento,630000000,92,3,3,6,Zona Sur Ciudad Jardin
Apartamento,874900000,164,3,4,5,Valle Del Lili
Apartamento,590000000,81,3,2,5,Guadalupe
Apartamento,1000000000,260,3,5,4,Santa Teresita
Apartamento,320000000,74,2,2,4,Ciudad Pacifica
Apartamento,310000000,72,2,2,5,Valle Del Lili
Apartamento,600000000,118,2,3,6,San Fernando
Apartamento,290000000,75,3,2,4,Valle Del Lili
Apartamento,310000000,68,3,2,5,La Hacienda
Apartamento,185000000,52,2,2,4,Ciudad Guabinas Yumbo
Apartamento,197000000,64,2,2,4,Bochalema
Apartamento,237482712,66,2,2,4,Valle Del Lili
Apartamento,220000000,54,2,2,3,Ciudad Pacifica
Apartamento,220000000,56,2,2,4,Bochalema
Apartamento,165000000,60,3,1,3,La Base
Apartamento,273500000,65,3,2,4,Mel ndez
Apartamento,220000000,64,3,2,5,La Hacienda
Apartamento,310000000,77,2,2,4,Brisas De Los Alamos
Apartamento,230000000,60,2,2,4,Ciudad Pacifica
Apartamento,288703805,65,3,2,4,El Bosque
Apartamento,280000000,62,3,2,4,El Refugio
Apartamento,395000000,93,3,3,5,Valle Del Lili
Apartamento,195000000,70,2,2,5,Cuarto De Legua
Apartamento,180000000,51,3,2,4,Valle Del Lili
Apartamento,190000000,69,3,2,4,Cl Departamental Colombia Departamental
Apartamento,300000000,84,3,3,4,Cl Comuna Colombia Valle Del Lili
Apartamento,880000000,161,4,3,4,Aguacatal
Apartamento,297000000,80,3,2,4,Valle De Lili Comuna Colombia Valle Del Lili
Apartamento,160000000,54,3,2,4,Av B n Acopi Colombia
Apartamento,290000000,65,3,2,4,Av a Nte El Bosque Colombia El Bosque
Apartamento,380000000,95,3,2,4,Cra Colombia Bochalema
Apartamento,270000000,78,2,2,4,CALLE Crist bal Col n
Apartamento,240000000,34,1,1,4,Carrera La Candelaria
Apartamento,270000000,78,2,2,4,Ciudad Pacifica Crist bal Col n
Apartamento,174000000,64,3,1,4,El Guabal Colombia El Guabal
