Inmueble,Precio,Área total,Habitaciones,Baños,Estrato,Ubicación
Casa,700.000.000,200 m² cubiertos,5 habitaciones,4 baños,4,"Santa Isabel, Cali, Valle Del Cauca"
Casa,1.400.000.000,430 m² cubiertos,4 habitaciones,5 baños,,"Cali, Valle Del Cauca"
Casa,900.000.000,450 m² cubiertos,8 habitaciones,8 baños,5,"San Joaquin, Cali, Valle Del Cauca"
Casa,1.150.000.000,250 m² cubiertos,4 habitaciones,5 baños,5,"El Ingenio, Cali, Valle Del Cauca"
Casa,560.000.000,250 m² cubiertos,4 habitaciones,4 baños,,"Cra. 45 #2-50, Cali, Valle Del Cauca, Colombia, El Lido, Cali, Valle Del Cauca"
Casa,750.000.000,276 m² cubiertos,5 habitaciones,4 baños,5,"Santa Anita, Cali, Valle Del Cauca"
Casa,280.000.000,152 m² cubiertos,8 habitaciones,2 baños,,"Alfonso Lopez, Cali, Valle Del Cauca, Colombia, Cali, Valle Del Cauca"
Casa,850.000.000,308 m² cubiertos,6 habitaciones,5 baños,,"Calle 17 #9n-69, Granada, Cali, Valle Del Cauca"
Casa,1.500.000.000,412 m² cubiertos,5 habitaciones,5 baños,,"Pance, Cali, Valle Del Cauca, Colombia, Pance, Cali, Valle Del Cauca"
Casa,1.000.000.000,150 m² cubiertos,4 habitaciones,2 baños,,"Carrera 5 No. 4-13, San Antonio, Cali, Valle Del Cauca"
Casa,1.900.000.000,544 m² cubiertos,5 habitaciones,6 baños,,"CLL 18A #127 121 CONDOMINIO DEL, Pance, Cali, Valle Del Cauca"
Casa,1.150.000.000,430 m² cubiertos,4 habitaciones,6 baños,,"El Bosque, Cali, Valle Del Cauca"
Casa,1.000.000.000,215 m² cubiertos,6 habitaciones,2 baños,,"Carrera 6 No.4-90, San Antonio, Cali, Valle Del Cauca"
Casa,1.350.000.000,345 m² cubiertos,5 habitaciones,5 baños,6,"San Joaquin, Cali, Valle Del Cauca"
Casa,480.000.000,420 m² cubiertos,9 habitaciones,6 baños,,"C. 4-B, La Coronilla, 45189 Zapopan, Jal., México, Ciudad Córdoba, Cali, Valle Del Cauca"
Casa,2.000.000.000,500 m² cubiertos,5 habitaciones,5 baños,6,"Pance, Cali, Valle Del Cauca"
