Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Casa,1399999900,350,4,4,5,La Flora
Casa,1250000000,300,4,6,5,Senderos de la Flora
Casa,520000000,107,3,3,4,Urbanización Nueva Granada
Casa,860000000,336,4,5,5,San Fernando Viejo
Casa,350000000,83,7,2,5,Cuarto de Legua - Guadalupe
Casa,595000000,200,5,5,5,Unicentro Cali
Casa,1280000000,233,5,5,6,Arboledas
Casa,470000000,180,4,4,5,Prados del Norte
Casa,1100000000,570,5,5,6,Altos de Santa Isabel - La Morelia
Casa,1300000000,246,4,4,5,Santa Rita
Casa,560000000,266,8,4,4,Ciudad 2000
Casa,850000000,240,4,5,5,El Bosque
Casa,390000000,100,4,3,4,Miraflores
Casa,545000000,240,4,3,5,San Fernando Viejo
Casa,660000000,208,3,3,5,Mayapan - Las Vegas
Casa,420000000,120,3,3,5,El Lido
Casa,500000000,180,4,4,5,Urbanización La Flora
Casa,1100000000,345,3,3,5,El Lido
Casa,400000000,83,3,2,4,Bosques del Limonar
Casa,250000000,80,2,2,5,Prados del Limonar
Casa,2200000000,245,4,5,6,Parcelaciones Pance
Casa,379017943,80,3,2,6,Santa Rita
Casa,280000000,110,2,1,5,El Bosque
Casa,290000000,130,3,2,5,Camino Real - Joaquín Borrero Sinisterra
Casa,275000000,71,3,2,6,Santa Barbara
Casa,280000000,81,2,2,4,Colseguros Andes
Casa,850000000,235,4,3,5,Ciudadela Pasoancho
Casa,520000000,249,6,3,4,La Campiña
Casa,310000000,123,3,3,5,Sector Cañaveralejo Guadalupe
Casa,850000000,180,3,4,4,Colseguros Andes
Casa,1350000000,300,3,3,4,Bosques del Limonar
Casa,390000000,200,3,3,4,Urbanización Nueva Granada
Casa,474000000,280,6,4,6,Ciudad Campestre
Casa,1730000000,251,3,3,6,Menga
Casa,780000000,240,4,4,4,Barrio Eucarístico
Casa,650000000,283,3,3,4,Urbanización Militar
Casa,998000000,192,3,3,5,El Gran Limonar
Casa,356939976,73,3,2,5,Centenario
Casa,790000000,148,3,3,4,Los Cambulos
Casa,2400000000,300,4,4,4,Barrio Departamental
Casa,325000000,144,3,2,4,El Refugio
Casa,410000000,105,3,3,5,La Hacienda
Casa,400000000,105,3,3,5,Camino Real - Los Fundadores
Casa,1600000000,330,4,4,6,Ciudad Campestre
Casa,1900000000,320,3,3,5,Santa Mónica
Casa,355000000,160,4,4,5,Nueva Tequendama
Casa,550000000,180,5,2,5,Camino Real - Joaquín Borrero Sinisterra
Casa,1520000000,280,3,3,4,Ciudad 2000
Casa,410000000,115,4,3,4,El Cedro
Casa,880000000,130,4,2,5,Centenario
Casa,1600000000,409,4,4,4,Colseguros Andes
Casa,820000000,280,7,3,5,El Bosque
Casa,355097984,72,3,2,5,El Lido
Casa,2150000000,390,5,5,6,Club Campestre
Casa,440000000,89,3,3,4,Villa del Sol
Casa,1550000000,260,3,4,4,Chipichape
Casa,410000000,156,8,4,5,Pampa Linda
Casa,360000000,104,4,2,5,Los Portales - Nuevo Rey
Casa,1350000000,168,3,3,4,Olímpico
Casa,319000000,120,4,2,5,La Cascada
Casa,345000000,108,3,1,6,Arboledas
Casa,650000000,310,4,4,6,Santa Teresita
Casa,650000000,97,3,3,6,Cañaveral
Casa,352848043,76,4,2,5,Cañaveralejo - Seguros Patria
Casa,1399000000,223,5,6,5,Nueva Tequendama
Casa,950000000,290,5,5,5,Sector Cañaveralejo Guadalupe
Casa,360000000,230,9,3,4,Urbanización Nueva Granada
Casa,1500000000,204,6,5,5,La Hacienda
Casa,1250000000,200,4,5,5,Cañaveralejo - Seguros Patria
Casa,1250000000,151,4,4,5,Urbanización San Joaquin
Casa,1050000000,175,3,3,4,Granada
Casa,1300000000,360,4,4,5,Nueva Tequendama
Casa,2600000000,460,3,6,5,Cuarto de Legua - Guadalupe
Casa,700000000,240,4,4,4,Lili
Casa,900000000,500,9,5,4,Unidad Residencial Santiago de Cali
Casa,1450000000,330,6,5,6,Arboledas
Casa,900000000,137,3,4,4,Barrio Eucarístico
Casa,2290000000,280,3,3,5,La Hacienda
Casa,700000000,123,3,3,4,Miraflores
Casa,665000000,189,3,2,4,El Cedro
Casa,850000000,320,6,7,4,3 de Julio
Casa,930000000,192,3,4,5,Nueva Tequendama
Casa,630000000,120,3,1,6,Ciudad Campestre
Casa,1740000000,233,3,4,5,Prados del Norte
Casa,700000000,180,4,2,5,San Fernando Viejo
Casa,580000000,120,3,3,4,Chipichape
Casa,1800000000,280,5,7,5,El Bosque
Casa,1300000000,295,4,6,5,El Lido
Casa,400000000,73,4,2,6,Menga
Casa,1480000000,296,4,5,4,Urbanización Militar
Casa,750000000,127,5,3,6,Urbanización Río Lili
Casa,489000000,206,8,4,5,Ciudadela Pasoancho
Casa,1100000000,200,5,5,4,Ciudad Los Alamos
Casa,2147483647,464,3,3,5,El Ingenio
Casa,1100000000,200,5,5,6,Altos de Santa Isabel - La Morelia
Casa,500000000,240,7,4,6,Santa Barbara
Casa,1600000000,360,5,6,4,Barrio Departamental
Casa,630000000,133,3,2,5,Centenario
Casa,1050000000,270,4,3,5,El Gran Limonar
Casa,599900000,300,7,8,5,Mayapan - Las Vegas
Casa,1500000000,400,4,5,5,Cañaveralejo - Seguros Patria
Casa,900000000,195,3,3,4,Bosques del Limonar
Casa,1739000000,290,5,6,5,El Lido
Casa,370000000,214,3,2,4,Bosques del Limonar
Casa,1580000000,250,6,5,6,Normandía
Casa,590000000,190,9,4,4,Unidad Residencial El Coliseo
Casa,550000000,172,4,3,6,Parcelaciones Pance
Casa,365000000,71,4,2,5,La Hacienda
Casa,369000000,98,4,4,6,Menga
Casa,517000000,91,3,3,5,Prados del Norte
Casa,309000000,72,4,2,5,El Gran Limonar
Casa,565000000,163,5,2,4,Vipasa
Casa,1450000000,207,3,5,4,Vipasa
Casa,1990000000,310,3,3,5,La Cascada
Casa,1600000000,325,4,4,4,Pasoancho
Casa,950000000,150,4,3,6,Santa Rita
Casa,850000000,188,6,3,5,La Hacienda
Casa,398000000,142,6,3,4,Urbanización La Merced
Casa,950000000,200,4,4,4,El Refugio
Casa,1300000000,300,3,4,4,Santa Isabel
Casa,950000000,319,4,4,4,Barrio Eucarístico
Casa,1150000000,151,3,3,5,Juanambú
Casa,1250000000,161,3,4,6,Cañaveral
Casa,2000000000,450,4,5,4,Urbanización Nueva Granada
Casa,1420000000,255,4,5,5,Sector Cañaveralejo Guadalupe
Casa,359011664,79,3,2,5,La Hacienda
Casa,400000000,113,4,3,6,Cañaveral
Casa,530000000,105,3,3,4,Urbanización La Merced
Casa,980000000,235,4,5,6,Santa Rita
Casa,980000000,156,3,2,6,Urbanización Ciudad Jardín
Casa,376918427,75,3,2,6,Arboledas
Casa,325000000,98,3,2,5,Camino Real - Joaquín Borrero Sinisterra
Casa,900000000,500,5,4,5,La Cascada
Casa,590000000,228,5,2,4,Miraflores
